Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
cyberextruder-002,0.0909,0.000398107170553497,0.0709,7.94328234724282e-05,0.0699,0.000199526231496888,0.0824,1.25892541179417e-05,0.0793,6.30957344480193e-05,0.0521,1.58489319246111e-05,0.048,2.51188643150958e-05,0.0765,1e-05
didiglobalface-001,0.0033,0.000501187233627273,0.0052,3.16227766016838e-05,0.0011,7.94328234724282e-05,0.0021,1e-05,0.005,0.000199526231496888,0.0031,1e-05,0.0011,1e-05,0.0036,1e-05
everai.paravision-003,0.0072,0.000501187233627273,0.0066,1.58489319246111e-05,0.0012,1e-04,0.0028,1e-05,0.0066,0.000251188643150958,0.0033,1e-05,0.0013,1e-05,0.0043,1e-05
hr-001,0.0331,0.000630957344480193,0.0243,5.01187233627273e-05,0.0051,1e-04,0.0121,1e-05,0.0222,1e-04,0.0093,1e-05,0.003,1e-05,0.0091,1e-05
imperial-002,0.017,0.000501187233627273,0.0143,3.98107170553497e-05,0.0036,2.51188643150958e-05,0.0077,1e-05,0.0121,0.000251188643150958,0.0051,1.58489319246111e-05,0.0021,1e-05,0.0062,1e-05
itmo-005,0.045,0.000398107170553497,0.0307,3.98107170553497e-05,0.0099,0.000158489319246111,0.0209,1e-05,0.0266,0.000158489319246111,0.011,1.99526231496888e-05,0.0044,1.99526231496888e-05,0.0125,1e-05
siat-004,0.0275,0.000501187233627273,0.0147,1.99526231496888e-05,0.004,7.94328234724282e-05,0.0098,1e-05,0.0166,0.000158489319246111,0.0073,1e-05,0.0025,1e-05,0.0075,1e-05
visionlabs-006,0.0101,0.000398107170553497,0.0057,3.98107170553497e-05,0.0017,0.000125892541179417,0.0035,1e-05,0.0073,0.000199526231496888,0.0036,1e-05,0.0014,1.25892541179417e-05,0.0046,1e-05
cogent-003,0.0499,0.000501187233627273,0.0339,6.30957344480193e-05,0.0069,0.000125892541179417,0.0129,2.51188643150958e-05,0.0308,6.30957344480193e-05,0.0116,1e-05,0.004,1e-05,0.0099,1e-05
cogent-004,0.0479,0.000501187233627273,0.0307,6.30957344480193e-05,0.0065,0.000125892541179417,0.0121,3.98107170553497e-05,0.0291,5.01187233627273e-05,0.0107,1e-05,0.0038,1e-05,0.0094,1e-05
