# ==============================================================================
# Title        : colorimetric_scale.csv
# Description  : Colorimetric Skin Tone Scale
# Author       : SAIC IDSL
# Reference    : https://doi.org/10.1145/3730409
# Repository   : https://github.com/TheMdTF/mdtf-public
# License      : https://github.com/TheMdTF/mdtf-public/blob/master/LICENSE.md
# ==============================================================================
"id","l","a","b","Hex"
1,70,6.0675851494,4.7021224642,"#baa7a3"
2,64.4444444444,11.0190323288,9.2563177747,"#b6958c"
3,58.8888888889,14.4362055456,13.0605974639,"#ae8478"
4,53.3333333333,16.4526526031,15.9372540189,"#a47465"
5,47.7777777778,17.1971740574,17.7389041917,"#966654"
6,42.2222222222,16.7896875795,18.3458713564,"#875946"
7,36.6666666667,15.3377665445,17.6635644508,"#764c3b"
8,31.1111111111,12.9337928362,15.6199586307,"#644131"
9,25.5555555556,9.6526624671,12.1632651298,"#50372b"
10,20,5.5499842431,7.259861848,"#3c2d26"
