# ==============================================================================
# Title        : idsl_skin_tone_sample.csv
# Description  : Skin Tone Sample Values
# Author       : SAIC IDSL
# Reference    : https://doi.org/10.1145/3730409
# Repository   : https://github.com/TheMdTF/mdtf-public
# License      : https://github.com/TheMdTF/mdtf-public/blob/master/LICENSE.md
# ==============================================================================
"l","a","b"
37.24079871,18.97267294,20.81785544
34.16264671,11.41238085,17.56144394
59.44556766,15.44830514,10.16768895
43.69014581,16.91792772,18.77280691
49.13111033,22.07898713,13.48247378
57.65699084,18.81185702,11.67752293
51.54797408,22.34395661,11.04943968
55.57232994,19.93502562,9.815696144
58.51285561,13.34904444,9.90426397
49.22509289,19.58473118,14.14659568
33.6707896,17.65319848,12.01391559
57.02777215,17.91162677,11.89684904
54.55358384,15.56073547,16.9793527
53.59817182,15.04955559,15.59665744
57.19222466,15.31963681,14.96649892
54.64226696,19.33070472,10.7800237
33.9404824,8.950664758,17.17679964
56.73792344,10.26711533,17.06617234
54.032981,12.09717923,16.14132722
31.69697956,13.5595588,16.09547492
41.18447383,15.39770106,18.23752566
28.85582424,6.457621234,11.8970568
58.87966846,12.73951367,15.60447195
32.8790575,17.34930694,19.73623972
36.19887003,11.23420769,14.79628638
59.98213736,12.66885927,13.75576646
51.86356622,14.60344459,14.26270796
42.28231976,13.36578083,17.89586416
52.63206554,18.75971396,16.06811847
53.60776865,14.84637288,18.51889576
49.14364753,19.66740537,9.845627567
60.92010259,16.4007033,12.92023893
52.92977195,12.03673747,20.96092942
60.81681323,9.48726077,17.15995964
60.55404506,10.49589143,11.6716089
37.72928948,13.60221877,17.01773169
39.05536115,16.76732805,17.74268538
62.27251254,11.21285182,11.91081592
48.71730258,17.25125506,21.0588711
37.1055256,20.16075099,16.97103695
29.3753384,11.35791301,18.51777182
31.60343208,13.02723899,19.09173535
58.09102131,16.56779421,6.461173945
58.3403143,15.50272782,12.01416241
55.64762657,14.04418461,13.28007316
52.59248306,20.2268524,13.69794301
57.69359801,16.25506755,9.348753337
50.07882608,16.75029827,15.88909733
52.27898478,17.52564633,15.52710735
40.4369157,15.82424305,16.59115304
31.5745411,14.37760895,20.34419807
46.81139533,19.46554229,16.05925278
43.42417421,18.83858211,19.06269588
53.45412306,20.6658631,11.42727205
52.5698008,18.40319569,17.72769098
60.00020798,12.53419718,16.06662344
52.06785728,16.82715131,14.61611391
47.78545653,13.70967388,22.58462424
39.78948625,14.76552775,19.91733647
53.45046524,22.29332623,8.512762963
27.82762554,9.480907869,10.51715742
39.82684379,14.98014656,18.76177446
26.81843998,14.7583461,19.62471711
33.72427983,13.23253806,13.86687574
49.76688186,16.70198165,20.74807954
55.16619271,17.8586129,16.75703197
32.03341777,16.59849229,10.90986271
54.84392084,15.48069092,13.31708638
48.72309827,14.53493151,18.03768646
52.20423759,15.84276801,14.78619189
46.64734335,17.39130965,16.9627057
55.4063204,17.51054942,14.18404218
54.96742036,20.39793434,11.86856517
43.18655541,18.08808416,18.1021612
46.6984919,13.08782505,16.91114539
55.75036749,12.79969044,14.55891466
44.75847272,16.6357897,14.8493989
47.22692363,17.8565751,18.98854869
50.42060886,18.44935105,10.48994718
58.88318776,14.37419168,14.50290336
40.58236581,17.51761116,20.49845299
57.22564362,12.56666003,13.21062442
58.38134559,15.49814347,13.80486025
53.99386717,14.81355024,18.48503486
23.05646335,13.12383965,13.8098213
53.54976011,20.93780035,12.16278252
51.53862264,17.53168103,17.99338055
31.91515491,12.9508949,13.84006414
54.93684551,21.88658217,9.515528542
60.00468147,10.90133286,17.17190106
42.27722067,17.55527998,21.63196231
38.42901898,16.15889933,16.22847357
56.87036002,17.2446514,12.81198264
49.63522156,17.95653051,17.06515955
48.96333115,16.92232729,17.85581293
39.69748928,18.84781869,19.31774398
46.56768146,16.93632409,19.22228582
49.76136826,21.46937311,13.78121143
38.94412766,16.144105,21.22374612
42.12546874,20.33566185,14.83958527
56.30916422,18.24160489,10.85468125
60.18216269,15.25757778,10.66745533
56.05192062,11.74922247,23.01570612
59.1569874,13.94584918,14.31350595
46.84523932,20.74145423,19.13554043
34.49282146,16.93063424,20.67714179
31.3030359,15.25040411,15.60111377
48.85426682,18.03461119,17.1406845
55.11494825,17.82184159,14.9365478
36.47393129,15.123277,17.78413764
42.11974585,18.65712113,18.43718477
57.60883562,13.91684337,14.9538954
37.61469108,15.66777165,25.40143616
46.86104244,21.10738586,14.97686121
53.08308868,15.59912094,21.86003043
46.67930111,15.81686297,19.93788206
34.33820246,13.73422856,16.00593809
56.0160312,18.53656796,11.59935907
33.02203438,16.13175526,24.15982127
48.4525336,12.91520711,26.36413599
56.35106844,15.68399645,8.523063314
49.45673531,12.56424698,20.18872105
48.66918487,20.36793892,15.15750167
49.35229324,13.8029712,18.90448448
57.92763591,13.75358304,13.68002422
58.78451919,15.60440779,13.24003681
37.72284408,11.68265732,21.82166791
58.10669624,13.22637252,10.46222998
57.41981712,15.91411569,18.19158599
36.32176004,17.15042801,23.75019563
43.95925815,16.13928846,22.70148358
37.54567658,11.19501787,19.13997976
50.31665266,12.69524437,21.39290675
49.99922634,19.20741522,17.61974459
35.07721613,16.11549054,18.97847692
54.68812972,17.60620113,16.06419274
36.05060956,17.94950429,19.14641199
28.23490861,10.70366353,14.38033056
38.75427727,18.1997949,24.04622439
30.07611768,14.9800498,25.08415864
52.66391807,15.97123774,16.03691798
51.08094612,12.78902184,18.38099206
54.53843312,20.17474359,12.99508359
55.61715443,19.93154328,11.63562037
61.54848531,9.755643571,12.53092033
55.72492787,17.09844688,15.79595253
54.04822865,14.87726321,20.30200759
51.35649092,21.56107669,12.53039824
35.9234748,12.84453239,22.45457104
35.32119414,12.37342572,19.80068077
34.9584794,17.7667205,10.68960406
44.15682971,16.9835583,20.62417391
51.76684428,25.83762275,9.677689396
47.52399405,16.60578644,11.60372615
50.79810315,22.54781865,10.55162117
44.14270612,15.42388801,21.14975972
46.73754245,16.15443342,18.24740738
57.35948058,16.56874951,8.283456429
39.34833674,14.60565388,21.11939295
31.96216856,11.02443146,21.3527042
31.1224597,13.03692268,16.54782707
34.8018024,16.6183308,19.23634689
61.49974329,7.688533894,15.2554333
36.04412772,15.06414635,18.4220942
55.4302233,20.2912575,16.04024088
54.47119884,13.75327694,16.81236448
55.29339473,17.36559957,11.09810453
53.02044402,21.81372641,12.59295491
57.78580047,12.63026912,20.33862024
59.05062273,13.5435003,14.14944448
46.9732251,16.68462787,22.73377841
33.81182868,13.44315783,15.25897904
51.67642077,15.5760944,12.24746697
48.51343439,16.89585169,16.02790263
37.50976272,13.87642257,24.00876374
56.60008758,17.67648766,13.01069826
41.47530795,19.0194353,22.37891378
54.77294471,16.85717037,11.49516221
50.00908749,22.00192869,17.71655431
39.82684379,14.98014656,18.76177446
58.54577639,14.41425962,16.31560519
58.51395204,11.69853323,11.02150338
31.59983087,16.26549049,15.41218965
55.43014905,12.97206469,15.84294973
37.5246023,16.04131488,14.9461703
32.12140495,15.03904773,16.101163
56.17073372,14.85323888,9.986935536
53.97810074,22.52164472,11.06365969
40.01356012,16.9290264,21.50671086
31.20243352,9.957659439,19.06386599
40.60348246,14.41765184,24.00871304
56.80459638,17.1125042,11.55113778
31.87255163,12.40848095,19.43467694
41.32952492,21.74142578,15.58515454
48.22462225,25.83779497,11.66725598
40.61694145,14.78190853,19.24612181
41.3996249,16.05724839,19.76886191
29.34091777,11.15738156,19.71548616
31.00892684,12.68738501,15.74470329
55.43030806,12.46015567,22.16982677
55.36283887,17.2563243,15.27888662
52.9322188,17.28069683,12.34649346
55.47867216,19.40044115,12.00422239
53.05475516,19.19762048,11.98511497
59.28800293,13.13048583,12.18461169
52.0692778,12.10625683,16.83869956
